Name,Location,Price
Shankar Resort," · 
Tajganj, Agra",N/A
The Grand Imperial Hotel,"Rakabganj, Agra",N/A
VGCraft Royal," · 
Fatehabad, Agra",N/A
Hotel Taj Crown Plaza,"Agra Cantt, Agra",N/A
Utkarsh Vilas,"Tajganj, Agra",N/A
Sahil Royale Garden,"Shahganj, Agra",N/A
Golden Tulip,"Agra Cantt, Agra",N/A
Hell lnn Lounge,"Civil Lines, Agra",N/A
Magan Farm House," · 
Sikandra, Agra",N/A
Hotel Avalon Palms,"Agra Cantt, Agra",N/A
Shri Krishan Vatika,"Shahganj, Agra",N/A
Avexia Hotel Agra,"Sikandra, Agra",N/A
"Taj Hotel & Convention Centre, Agra"," · 
Tajganj, Agra",N/A
Agra Camps and Resort," · 
Agra Cantt, Agra",N/A
Hotel Taj Heights,"Fatehabad, Agra",N/A
Hotel Merit,"Fatehabad, Agra",N/A
Hotel C P Palace," · 
Khandari, Agra",N/A
Jaypee Palace Hotel & Convention," · 
Fatehabad, Agra",N/A
Ganpati Garden,"Gopal Pura, Agra",N/A
Hotel Sunway Inn & Banquets,"Agra Cantt, Agra",N/A
Paradise Mahal,"Sikandra, Agra",N/A
Hotel Amar," · 
Tajganj, Agra",N/A
C1 Taj Nirvana,"Tajganj, Agra",N/A
"Holiday Inn, Agra","Agra Cantt, Agra",N/A
