Name,Location,Price
Hotel German Palace,"Airport Gandhinagar Highway, Ahmedabad",N/A
Pinnacle Grand Hotel & Banquets," · 
Sola, Ahmedabad",N/A
Hotel Ginger,"Ambavadi, Ahmedabad",N/A
"Country Club, Kolet","Sarkhej, Ahmedabad",N/A
"Prasang Presidency, Ghatlodia","Ghatlodia, Ahmedabad",N/A
Sarvottam Banquet & Restaurant,"Chandkheda, Ahmedabad",N/A
Capital Point Restaurant & Banquet,"Navrangpura, Ahmedabad",N/A
Urbane The Hotel,"Ambavadi, Ahmedabad",N/A
Superia The Restaurant & Banquet,"Nikol, Ahmedabad",N/A
Sapphire - The Lawn,"Prahlad Nagar, Ahmedabad",N/A
Hotel Riverview,"Ashram Road, Ahmedabad",N/A
Crowne Plaza Ahmedabad City Centre," · 
Prahlad Nagar, Ahmedabad",N/A
Shakti Farm Party Plot,"Gurukul, Ahmedabad",N/A
"Hotel Grand Ambience, Ahmedabad","Lal Darwaja, Ahmedabad",N/A
Kesar Party Plot,"Satellite, Ahmedabad",N/A
Hotel Santro,"Naroda, Ahmedabad",N/A
N Raval Party Plot,"Ambavadi, Ahmedabad",N/A
Hotel Prithvi,"Mani Nagar, Ahmedabad",N/A
Tune Hotel,"Ambavadi, Ahmedabad",N/A
Mukhi Ni Vadi,"Isanpur, Ahmedabad",N/A
Karia Lake Party Plot,"Naroda, Ahmedabad",N/A
Angat 22 The Restaurant and Banquet,"Bopal, Ahmedabad",N/A
Belicia Greens Party Plot,"Ambavadi, Ahmedabad",N/A
Ginger Hotel Ahmedabad,"Bodakdev, Ahmedabad",N/A
