Name,Location,Price
MJ Avyanna," · 
Electronic City - Hosur Road, Bangalore",N/A
Tranquil Woods by Jade," · 
Kanakapura Road, Bangalore",N/A
The Kings Meadows," · 
Hebbal, Bangalore",N/A
Utsavaa," · 
Electronic City - Hosur Road, Bangalore",N/A
Big Banyan Vineyard & Resort,"Mysore Road, Bangalore",N/A
Amita Rasa,Bangalore,N/A
Fiestaa Resort n Events Venue," · 
Yelahanka - Kempegowda International Airport, Bangalore",N/A
Svaraga," · 
Yelahanka - Kempegowda International Airport, Bangalore",N/A
Chairman's Jade Club & Resort,"MG Road, Bangalore",N/A
Bougainvil’La Celebrate Luxury," · 
Jayanagar - JP Nagar, Bangalore",N/A
Chairman's Resort," · 
Hebbal, Bangalore",N/A
The Fisherman's Wharf,"Yelahanka - Kempegowda International Airport, Bangalore",N/A
The Kalanivasthi," · 
Yeshwantpur, Bangalore",N/A
JW Marriott Hotel Bengaluru," · 
MG Road, Bangalore",N/A
Rustique Winds," · 
Whitefield, Bangalore",N/A
Moongate," · 
Yelahanka - Kempegowda International Airport, Bangalore",N/A
MLR Convention Center,"Jayanagar - JP Nagar, Bangalore",N/A
MLR Convention Centre  ," · 
JP Nagar, Bangalore",N/A
The Lily Pond,"Bellandur, Bangalore",N/A
The Haven By Jade," · 
Kammanahalli - Hennur, Bangalore",N/A
Hasiru Bhoomi Club And Leisures,"Yelahanka, Bangalore",N/A
Meridian by the Lawns," · 
Bannerghatta Road, Bangalore",N/A
The Event Grove,"Whitefield, Bangalore",N/A
Signature Club Resort,"Yelahanka - Kempegowda International Airport, Bangalore",N/A
