Name,Location,Price
"The Palace House, Chennai"," · 
Injambakkam, Chennai",N/A
"Anand Farms, Chennai"," · 
Ambattur, Chennai",N/A
"The Royal Palms, Vettuvankeni"," · 
Vettuvankeni, Chennai",N/A
Blue Bay Beach Resort,"Egmore, Chennai",N/A
RS Mahal," · 
Porur, Chennai",N/A
"Zone by The Park, Chennai","Madipakkam, Chennai",N/A
Shanthi Nivaas,"Kanathur, Chennai",N/A
Sathyam Grand Resort Chennai,Chennai,N/A
Green Apple Banquet Hall,"Anna Nagar West, Chennai",N/A
Brio Party Hall,"Abhiramapuram, Chennai",N/A
Illam Hospitality,"Old Mahabalipuram Road (OMR), Chennai",N/A
"Ram Palace, Choolaimedu","Choolaimedu, Chennai",N/A
"Turyaa, Chennai"," · 
Kottivakkam, Chennai",N/A
Ayswariya Mahal," · 
Arumbakkam, Chennai",N/A
"GT Grande, Banquet Hall","T. Nagar, Chennai",N/A
Sagarika Garden,"Kanathur, Chennai",N/A
Hotel Mount Heera,"Alandur, Chennai",N/A
Sri Lalitha Mini Function Hall A/C,"Kodambakkam, Chennai",N/A
M P Wedding & Convention,"Perambur, Chennai",N/A
"Party hall - Peravallur, Chennai","Perambur, Chennai",N/A
S R K Mahal,"Madipakkam, Chennai",N/A
"Taj Connemara, Chennai"," · 
Anna Salai, Chennai",N/A
Ritam,"East Coast Road (ECR), Chennai",N/A
"Sri Krishna Hall, Chennai","Adyar, Chennai",N/A
