Name,Location,Price
"Hotel Surya Grand, Rajouri Garden"," · 
Rajouri Garden - Subhash Nagar, West Delhi",N/A
Yadu Greens," · 
GT Karnal Road - Alipur, North Delhi",N/A
Tivoli Grand Resort Hotel," · 
GT Karnal Road - Alipur, North Delhi",N/A
"Haut Monde Rajputana Palace, Neemrana",Gurgaon,N/A
"Hotel 91, Sector 45, Gurgaon"," · 
HUDA City Centre - Sector 29, Gurgaon",N/A
Surya Forever," · 
GT Karnal Road - Alipur, North Delhi",N/A
"Surya Palace, Sector 23, Dwarka"," · 
Sector 23, Dwarka, Dwarka",N/A
Vitara Banquet," · 
East Delhi",N/A
Radisson Blu MBD Hotel," · 
Ghaziabad",N/A
Ramada by Wyndham Gurgaon Central," · 
HUDA City Centre - Sector 29, Gurgaon",N/A
Enkay Residency,"Old Gurgaon - Sector 14, Gurgaon",N/A
RK Farm,Ghaziabad,N/A
Kesariya Farm," · 
Golf Course Extension Road - Gwal Pahari, Gurgaon",N/A
Meraki Banquet," · 
Saket - Malviya Nagar, South Delhi",N/A
"Country Inn, Sahibabad"," · 
East Delhi",N/A
Hotel Haris," · 
MG Road, Gurgaon, Gurgaon",N/A
Sumitra Banquet and Party Lawn," · 
Sector 21, Dwarka, Dwarka",N/A
"Mehak Wedding Banquet, Punjabi Bagh"," · 
Peeragarhi - Paschim Vihar, West Delhi",N/A
The 3Tree Wedding and Party Lawn,"Raj Nagar, Ghaziabad",N/A
J. S. Garden Banquet & Rooms By Khanak," · 
Noida Expressway, Noida",N/A
"Radisson Blu, Kaushambi"," · 
East Delhi",N/A
The Raj Palace Banquet," · 
East Delhi",N/A
Riwaaz Banquet and Gardens,"Sector 7, Dwarka, Dwarka",N/A
Omnia by Tivoli," · 
Dwarka",N/A
