Name,Location,Price
The Bristol," · 
DLF Phase 1, 2, 3 - Cyber City, Gurgaon",N/A
Ramada by Wyndham Gurgaon Central," · 
HUDA City Centre - Sector 29, Gurgaon",N/A
The Ashoka Farms - Farm House and Luxury Resort," · 
Manesar, Gurgaon, Gurgaon",N/A
Aapno Ghar," · 
Manesar, Gurgaon, Gurgaon",N/A
Hari's Court - Hotel and Banquet," · 
DLF Phase 1, 2, 3 - Cyber City, Gurgaon",N/A
"Park Inn by Radisson Gurgaon, Bilaspur"," · 
Manesar, Gurgaon, Gurgaon",N/A
The Aldott," · 
DLF Phase 1, 2, 3 - Cyber City, Gurgaon",N/A
Aadat,"DLF Phase 1, 2, 3 - Cyber City, Gurgaon",N/A
Kaara Gurgaon," · 
Manesar, Gurgaon, Gurgaon",N/A
"Hotel 91, Sector 45, Gurgaon"," · 
HUDA City Centre - Sector 29, Gurgaon",N/A
"Haut Monde Rajputana Palace, Neemrana",Gurgaon,N/A
The Club- International City," · 
Manesar, Gurgaon, Gurgaon",N/A
Masaga by Qcent," · 
Old Gurgaon - Sector 14, Gurgaon",N/A
Club Florence," · 
Golf Course Road, Gurgaon, Gurgaon",N/A
V Club," · 
Sohna Road, Gurgaon",N/A
Omnia by Tivoli," · 
Gurgaon",N/A
Luxera Hotel & Banquets,Gurgaon,N/A
Amstoria Club & Resorts," · 
Old Gurgaon - Sector 14, Gurgaon",N/A
Best Western - Resort Country Club," · 
Manesar, Gurgaon, Gurgaon",N/A
The Tivoli Resort Hotel," · 
Gurgaon",N/A
Club Beryl," · 
Golf Course Extension Road - Gwal Pahari, Gurgaon",N/A
Botanix Nature Resort," · 
Sohna Road, Gurgaon",N/A
Devam Greens by Prime Rose," · 
Gwal Pahari, Gurgaon, Gurgaon",N/A
"Golden Tulip,Sector 29 Gurugram"," · 
HUDA City Centre - Sector 29, Gurgaon",N/A
