Name,Location,Price
The Villa At Mandeville," · 
Ballygunge, Kolkata",N/A
Ozora,"Ballygunge, Kolkata",N/A
Gram Bangla Retreat," · 
Joka, Kolkata",N/A
Hotel RituIvy,"Kasba, Kolkata",N/A
Vedic Village Spa Resort," · 
New Town, Kolkata",N/A
Bishnu Bijoli Garden," · 
Ruby Hospital Area, Kolkata",N/A
Ibrah Feast,"Park Street Area, Kolkata",N/A
Shangri-La Pavilion,"Sector 5, Salt Lake, Kolkata",N/A
Myrah Banquets,"Entally, Kolkata",N/A
The Platinum Studio 50," · 
New Town, Kolkata",N/A
"Regenta Orkos Kolkata, Kasba"," · 
Kasba, Kolkata",N/A
The Circle Club Kolkata,"Rajarhat New Town, Kolkata",N/A
"Zone by The Park, Kolkata","New Town, Kolkata",N/A
Badsha Banquet Hall,"Barrackpore, Kolkata",N/A
Eastern Metropolitan Club,"Santoshpur, Kolkata",N/A
J.D. Palace," · 
Barasat, Kolkata",N/A
Jameson Inn Shiraz,"Park Circus Area, Kolkata",N/A
The Pioneer Banquet,"Dum Dum, Kolkata",N/A
Hotel Eastern Plaza,"Ajoy Nagar, Kolkata",N/A
Hotel Narayani Enclave,"Kasba, Kolkata",N/A
The Xen Suites," · 
Rajarhat New Town, Kolkata",N/A
Hotel Heaven,"Taltala, Kolkata",N/A
ROY Banquets,"Barasat, Kolkata",N/A
Hotel Dreamland Pvt. Ltd.,"New Market Area, Kolkata",N/A
