Name,Location,Price
Sheevi Community Hall,"Danapur, Patna",N/A
Hotel CP Palace,"Golambar, Patna",N/A
Hotel Bliss by Bizz Grow Hotels," · 
Kankarbagh, Patna",N/A
"KL7 Hotel & Banquets, Patna","Sadikpur, Patna",N/A
The AVR Hotels & Banquets,"Khajpura, Patna",N/A
Ridhi Sidhi Marriage Hall,"Rajendra Nagar, Patna",N/A
Marwari Awas Griha,"Fraser Road Area, Patna",N/A
Hotel Vibrant Lawn & Banquet,"Rukanpura, Patna",N/A
Dhaara Mansion Marriage Hall,"Danapur, Patna",N/A
"Hotel Sarvodaya, Patna","Golambar, Patna",N/A
Hotel Destiny," · 
Patliputra Colony, Patna",N/A
Hotel Grand Empire," · 
Khajpura, Patna",N/A
SR Garden,"Anandpuri, Patna",N/A
RK Ivory,"Patliputra Colony, Patna",N/A
Hotel Madhuram,"Digha Ghat, Patna",N/A
Hotel Vista Palace,"Lodipur, Patna",N/A
Dream Banquet Hall,"Patliputra Colony, Patna",N/A
The Elegance Resort,"Danapur, Patna",N/A
Radhika Inn,"Patliputra Colony, Patna",N/A
The Grand Empire,"Rukanpura, Patna",N/A
Celebrations Banquet,"Patliputra Colony, Patna",N/A
SS Exotica,"Rukanpura, Patna",N/A
"Royal King Resort, Patna","Kidwaipuri, Patna",N/A
"Ascent Grand, Patna"," · 
Rukanpura, Patna",N/A
